Date,Stock,Buy,Sell,PnL,Reason
2022-04-12,ACC.NS,2206.326171875,2155.439208984375,-1679.269775390625,BEAR_ZONE
2022-04-12,ADANIGREEN.NS,2665.14990234375,2792.39990234375,3563.0,RSI_OVERBOUGHT
2022-04-21,ADANIPOWER.NS,46.31999969482422,49.36000061035156,4921.7614822387695,TARGET_HIT
2022-04-26,ADANIENT.NS,2182.8850620814733,2391.03369140625,11656.323242187496,TARGET_HIT
2022-04-26,ADANIPORTS.NS,831.539410277501,889.0526123046875,8569.467102050785,TARGET_HIT
2022-05-04,ABB.NS,2152.1638671875,1982.8555908203125,-13544.662109374985,BEAR_ZONE
2022-05-06,ADANIENT.NS,2391.03369140625,2243.696533203125,-4567.451904296875,TRAILING_STOP
2022-05-09,PAGEIND.NS,43865.822916666664,40622.80859375,-9729.042968749993,TRAILING_STOP
2022-05-10,ACC.NS,2283.8427734375,2172.38525390625,-3566.640625,BEAR_ZONE
2022-05-10,ADANIGREEN.NS,2952.449951171875,2486.699951171875,-11643.75,TRAILING_STOP
2022-05-18,ADANIPOWER.NS,53.470001220703125,58.93999862670898,7668.936363220205,TARGET_HIT
2022-05-31,ABB.NS,2227.192431640625,2389.181640625,8909.406494140636,TARGET_HIT
2022-05-31,ADANIGREEN.NS,2281.699951171875,1888.949951171875,-12568.0,TRAILING_STOP
2022-05-31,PAGEIND.NS,40407.4375,43076.28515625,2668.84765625,TARGET_HIT
2022-06-09,AUBANK.NS,638.6548101963141,610.2979125976562,-5529.5950317382785,BEAR_ZONE
2022-06-16,ADANIGREEN.NS,1888.949951171875,1711.0999755859375,-6936.1490478515625,BEAR_ZONE
2022-06-17,ABB.NS,2359.4278611403247,2139.066650390625,-11458.782958984384,TRAILING_STOP
2022-06-17,PAGEIND.NS,39630.40234375,38062.7734375,-1567.62890625,BEAR_ZONE
2022-07-06,ABB.NS,2256.59423828125,2477.52392578125,7290.6796875,TARGET_HIT
2022-07-08,ADANIENT.NS,2150.9437469482423,2288.965576171875,11041.746337890618,TARGET_HIT
2022-07-11,ADANIGREEN.NS,1917.6500244140625,2207.35009765625,11298.302856445312,TARGET_HIT
2022-07-15,BAJAJ-AUTO.NS,3412.954644097222,3673.47265625,9378.648437500002,TARGET_HIT
2022-07-21,ABB.NS,2523.1651144588695,2729.262451171875,14014.618896484371,TARGET_HIT
2022-07-21,ADANIENT.NS,2332.4229830228364,2492.081298828125,8302.232421875005,TARGET_HIT
2022-08-01,BOSCHLTD.NS,15614.2373046875,16768.607421875,4617.48046875,TARGET_HIT
2022-08-01,ADANIENT.NS,2492.081298828125,2656.505859375,4932.73681640625,TARGET_HIT
2022-08-01,ADANIGREEN.NS,2109.75,2273.699951171875,5738.248291015625,TARGET_HIT
