Date,Open,High,Low,Close,Volume,DMA_20,DMA_50,DMA_100,DMA_200,RSI_14,MACD,MACD_signal,Volume_Change_Pct,Bollinger_Upper,Bollinger_Middle,Bollinger_Lower,52W_High,52W_Low,Distance_to_52W_High,Distance_to_52W_Low
2022-03-09,1017.406956117863,1077.01347494328,1016.565078233395,1071.143798828125,20414228,1073.1925048828125,1090.7120556640625,1110.255050048828,1064.2081686401368,49.716665393663476,-11.79089209517224,-9.233068280736445,-4.110717393569208,1127.5279374440522,1073.1925048828125,1018.8570723215729,1243.024658203125,862.0408325195312,-0.13827630710356562,0.24256735692836928
2022-03-10,1092.028820377732,1094.3038764083778,1073.8283721325647,1088.50244140625,17980493,1073.3915710449219,1090.6560864257813,1108.8529296875,1065.1489022827147,53.017672791212625,-8.653459203203738,-9.117146465229904,-11.921758687127426,1127.9203896435724,1073.3915710449219,1018.8627524462712,1243.024658203125,862.0408325195312,-0.12431146540588114,0.262704039465077
2022-03-11,1081.1313132856126,1097.0340801861346,1081.1313132856126,1091.64208984375,12257423,1073.8033508300782,1090.6256005859375,1107.449444580078,1066.1563446044922,53.61085583763982,-5.8462853047590215,-8.462974233135728,-31.82932748284488,1128.751238485214,1073.8033508300782,1018.8554631749427,1243.024658203125,862.0408325195312,-0.12178565192601135,0.26634615051023897
2022-03-14,1086.0682461878607,1103.1312280003071,1080.1985698532058,1100.6058349609375,8340678,1074.769110107422,1091.1693383789063,1106.0252563476563,1067.1929623413087,55.344355373099575,-2.8652516108197688,-7.343429708672537,-31.954065711854764,1130.8761711330553,1074.769110107422,1018.6620490817886,1243.024658203125,862.0408325195312,-0.11457441515928043,0.27674443418664985
2022-03-15,1104.7464533796308,1104.7464533796308,1065.1148867530296,1075.398193359375,15925769,1075.3356018066406,1091.1265649414063,1104.4920935058594,1068.0898257446288,49.71775257346186,-2.507897458589696,-6.376323258655969,90.94094029286349,1131.2274310972723,1075.3356018066406,1019.443772516009,1243.024658203125,862.0408325195312,-0.1348536923523828,0.24750261564322096
2022-03-16,1083.8385885222203,1095.6234340578644,1081.609026403429,1093.5531005859375,11149828,1075.003436279297,1091.1220141601561,1103.4949353027343,1068.8083520507812,53.39287444653659,-0.7510843986428881,-5.251275486653353,-29.988762238106048,1130.376884158106,1075.003436279297,1019.629988400488,1243.024658203125,862.0408325195312,-0.12024826428886665,0.2685629953163047
2022-03-17,1106.9304944761457,1136.3469946247096,1098.8994972340938,1129.203369140625,21422098,1076.5675354003906,1091.3367797851563,1102.831982421875,1069.5566314697267,59.63229898429484,3.4777915233264594,-3.5054620846573905,92.1294032517811,1136.0563003876568,1076.5675354003906,1017.0787704131243,1243.024658203125,862.0408325195312,-0.09156800576026887,0.3099186564518574
2022-03-21,1112.0493977484434,1130.249846191458,1109.7743416930666,1122.6966552734375,11999466,1077.111279296875,1091.3167602539063,1102.2204455566407,1070.2528796386719,58.10340494476385,6.232326350013182,-1.5579043977232763,-43.985570414251676,1138.0599245243332,1077.111279296875,1016.1626340694169,1243.024658203125,862.0408325195312,-0.0968025872500628,0.3023706220412715
2022-03-22,1119.3750232146149,1153.4327442921551,1116.417558596963,1151.7037353515625,22557065,1079.5399047851563,1092.3601025390626,1101.629385986328,1071.0208206176758,62.69524747431689,10.63336912530167,0.8803503068817129,87.98390695052596,1147.8666480639795,1079.5399047851563,1011.2131615063331,1243.024658203125,862.0408325195312,-0.07346670257014289,0.3360199330528445
2022-03-23,1147.9953600851836,1167.0375661035232,1147.9953600851836,1155.366455078125,15462187,1082.7090576171875,1093.299248046875,1101.2280639648438,1071.7880307006835,63.243060006418865,14.252484336261205,3.5547771127576118,-31.453019264696003,1158.5202359974921,1082.7090576171875,1006.8978792368828,1243.024658203125,862.0408325195312,-0.07052008385072246,0.3402688265952273
2022-03-24,1142.0802732954487,1175.8194185614975,1142.0802732954487,1173.3167724609375,13168266,1087.0237121582031,1094.5791967773437,1101.1372900390625,1072.6884085083009,65.88693925000213,18.35748613793544,6.515318917793177,-14.8356826883545,1172.5286722127269,1087.0237121582031,1001.5187521036793,1243.024658203125,862.0408325195312,-0.05607924612127558,0.36109187430440387
2022-03-25,1175.0685459381182,1190.3114093068612,1172.5659000566366,1181.1429443359375,14222488,1092.0697998046876,1095.8559594726562,1101.4084765625,1073.5442593383789,67.0013874300432,21.98876352656407,9.610007839547357,8.005776918540386,1186.7887382869724,1092.0697998046876,997.3508613224028,1243.024658203125,862.0408325195312,-0.049783174821842746,0.3701705299547703
2022-03-28,1187.5813149251485,1196.5678044575318,1176.8885634283015,1193.018798828125,9891424,1100.40107421875,1096.773720703125,1101.7913696289063,1074.4885089111328,68.67381336030877,25.530558835817374,12.794118038801361,-30.452224674051408,1199.746414352456,1100.40107421875,1001.0557340850439,1243.024658203125,862.0408325195312,-0.04022917730955298,0.3839469707498975
2022-03-29,1200.321761515582,1200.321761515582,1186.3984604316122,1193.2918701171875,8684065,1108.104425048828,1097.5677172851563,1102.3453466796875,1075.523903503418,68.7130787486703,28.03630661586044,15.84255575421318,-12.206119159384944,1211.1061927368744,1108.104425048828,1005.1026573607817,1243.024658203125,862.0408325195312,-0.04000949438752853,0.384263743782869
2022-03-30,1201.1863453712592,1223.0724028520565,1190.8120505919685,1216.2244873046875,15811550,1115.23447265625,1098.78669921875,1103.2069140625,1076.6558239746093,71.89867958965436,31.5093798189896,18.975920567168465,82.0754450824585,1227.0656715687687,1115.23447265625,1003.4032737437316,1243.024658203125,862.0408325195312,-0.021560449924765718,0.4108664478803926
2022-03-31,1212.584340487485,1214.7456618708436,1196.0446595036312,1198.8428955078125,13223718,1120.6081665039062,1099.5374682617187,1103.8252758789063,1077.614989013672,66.38174539444694,32.48480158899565,21.677696771533903,-16.366719265347164,1237.5477765699072,1120.6081665039062,1003.6685564379052,1243.024658203125,862.0408325195312,-0.03554375402269186,0.3907031433811464
