Date,Cash,Invested,Total,Positions,Peak,Drawdown,Daily_Return
2022-04-11,2106.35929107666,497893.64070892334,500000.0,10,500000.0,0.0,
2022-04-12,516.9408340454102,496965.0845108032,497482.02534484863,10,500000.0,-0.0050359493103027345,-0.005035949310302712
2022-04-13,516.9408340454102,498579.7593307495,499096.7001647949,10,500000.0,-0.0018065996704101563,0.0032456947943535486
2022-04-18,4870.412712097168,494802.53715515137,499672.94986724854,8,500000.0,-0.0006541002655029297,0.0011545852782903765
2022-04-19,4870.412712097168,492312.6525039673,497183.06521606445,8,500000.0,-0.005633869567871094,-0.0049830287027656794
2022-04-20,11558.682670593262,489448.0298690796,501006.71253967285,7,501006.71253967285,0.0,0.0076906226119080046
2022-04-21,11558.682670593262,493111.3615951538,504670.04426574707,7,504670.04426574707,0.0,0.007311941405943045
2022-04-22,11558.682670593262,488117.207069397,499675.88973999023,7,504670.04426574707,-0.009895880650144224,-0.00989588065014424
2022-04-25,11845.909843444824,482173.24562072754,494019.15546417236,7,504670.04426574707,-0.021104658226883396,-0.011320806930991578
2022-04-26,11758.794609069824,483736.43004608154,495495.22465515137,7,504670.04426574707,-0.018179837925479215,0.002987878455020798
2022-04-27,11758.794609069824,479935.2914733887,491694.0860824585,7,504670.04426574707,-0.025711766194023888,-0.007671392949020528
2022-04-28,11758.794609069824,484580.85177612305,496339.6463851929,7,504670.04426574707,-0.01650662244610582,0.009448070323049063
2022-04-29,52856.58861541748,432408.8214645386,485265.41007995605,6,504670.04426574707,-0.03845014065382689,-0.022311810845435653
2022-05-02,2978.0534591674805,477362.1671600342,480340.22061920166,7,504670.04426574707,-0.04820936753229187,-0.010149475644560924
2022-05-04,229678.84673309326,238088.36472320557,467767.2114562988,4,504670.04426574707,-0.07312269319083282,-0.02617521628044206
2022-05-05,229678.84673309326,238529.32918548584,468208.1759185791,4,504670.04426574707,-0.072248925335398,0.0009427006670847948
2022-05-06,229678.84673309326,238280.5845336914,467959.43126678467,4,504670.04426574707,-0.07274181104284343,-0.0005312693468165763
2022-05-09,275769.04863739014,188344.8169784546,464113.8656158447,3,504670.04426574707,-0.08036177124185806,-0.008217732978540115
2022-05-10,320590.2537307739,142250.9034423828,462841.15717315674,2,504670.04426574707,-0.08288363370853105,-0.002742233182366105
2022-05-11,320590.2537307739,143707.42529296875,464297.6790237427,2,504670.04426574707,-0.07999754631908622,0.0031469151522345307
2022-05-12,364046.5679397583,96730.5087890625,460777.0767288208,1,504670.04426574707,-0.08697359400593488,-0.007582640305944466
2022-05-13,364046.5679397583,99205.6806640625,463252.2486038208,1,504670.04426574707,-0.08206905904666031,0.005371733968564385
2022-05-16,267499.9683303833,194071.8583984375,461571.8267288208,2,504670.04426574707,-0.08539880269618656,-0.0036274446158968132
2022-05-17,220091.93854522705,244814.44360351562,464906.3821487427,3,504670.04426574707,-0.07879140553082999,0.007224347819393628
2022-05-18,75494.36627960205,388242.646484375,463737.01276397705,4,504670.04426574707,-0.08110850241037028,-0.002515279268400117
2022-05-19,28648.07624053955,429723.66796875,458371.74420928955,4,504670.04426574707,-0.09173974279336848,-0.01156963625290397
2022-05-20,28648.07624053955,437090.84619140625,465738.9224319458,4,504670.04426574707,-0.0771417330514293,0.016072496430522554
2022-05-23,28648.07624053955,436905.6923828125,465553.76862335205,4,504670.04426574707,-0.07750861396837204,-0.0003975484969710452
2022-05-24,28648.07624053955,436058.5703125,464706.64655303955,4,504670.04426574707,-0.0791871801522338,-0.0018196009299150662
2022-05-25,28648.07624053955,427661.89990234375,456309.9761428833,4,504670.04426574707,-0.09582512113082449,-0.018068754713190693
2022-05-26,28648.07624053955,427338.3818359375,455986.45807647705,4,504670.04426574707,-0.09646616981219995,-0.0007089874938542851
2022-05-27,28648.07624053955,432707.2177734375,461355.29401397705,4,504670.04426574707,-0.08582786068626161,0.011774112679020732
2022-05-30,37483.78327178955,433552.35205078125,471036.1353225708,6,504670.04426574707,-0.066645344468802,0.02098348373629033
2022-05-31,37483.78327178955,433482.58807373047,470966.37134552,6,504670.04426574707,-0.06678358127885932,-0.00014810748437166232
2022-06-01,37483.78327178955,427610.36334228516,465094.1466140747,6,504670.04426574707,-0.07841935161666273,-0.012468458660156001
2022-06-02,37483.78327178955,432577.91540527344,470061.698677063,6,504670.04426574707,-0.06857618355184197,0.010680745176331552
2022-06-03,37483.78327178955,424291.11431884766,461774.8975906372,6,504670.04426574707,-0.08499641926938369,-0.01762917742447012
2022-06-06,36268.45960235596,430321.0540161133,466589.51361846924,6,504670.04426574707,-0.07545629283917939,0.010426326881241899
2022-06-07,36268.45960235596,430540.1339111328,466808.59351348877,6,504670.04426574707,-0.07502218763022395,0.00046953454508757986
2022-06-08,26829.42063140869,433977.2471923828,460806.6678237915,5,504670.04426574707,-0.08691495946777093,-0.012857359039864846
2022-06-09,26829.42063140869,438277.1925048828,465106.6131362915,5,504670.04426574707,-0.07839464929410872,0.009331343517243296
2022-06-10,26829.42063140869,435099.79138183594,461929.2120132446,5,504670.04426574707,-0.08469064637011851,-0.006831554386253824
2022-06-13,27660.52170562744,430557.1962890625,458217.71799468994,4,504670.04426574707,-0.09204494461057501,-0.008034767929871234
2022-06-14,27660.52170562744,421663.314453125,449323.83615875244,4,504670.04426574707,-0.10966810639121401,-0.019409729232776174
2022-06-15,27660.52170562744,423997.6923828125,451658.21408843994,4,504670.04426574707,-0.10504255360437517,0.005195312916501438
2022-06-16,121474.42551422119,323839.69189453125,445314.11740875244,3,504670.04426574707,-0.11761333475489429,-0.014046233372488226
2022-06-17,121474.42551422119,319825.52490234375,441299.95041656494,3,504670.04426574707,-0.12556737727792094,-0.009014236996450098
2022-06-20,169112.90647125244,270408.65185546875,439521.5583267212,2,504670.04426574707,-0.1290912481913039,-0.0040298941528659205
2022-06-21,169112.90647125244,273599.34814453125,442712.2546157837,2,504670.04426574707,-0.12276890684111598,0.00725947619318057
2022-06-22,169112.90647125244,273271.8837890625,442384.79026031494,2,504670.04426574707,-0.12341777506539345,-0.0007396776394927862
2022-06-23,169112.90647125244,287416.27734375,456529.18381500244,2,504670.04426574707,-0.09539076273248114,0.031973055733594435
2022-06-24,169112.90647125244,290101.91015625,459214.81662750244,2,504670.04426574707,-0.09006920096551045,0.005882718800269027
2022-06-27,166764.28006744385,295754.05657958984,462518.3366470337,4,504670.04426574707,-0.0835233002189393,0.007193844579738151
2022-06-28,17384.074058532715,447326.8403015137,464710.9143600464,6,504670.04426574707,-0.07917872352387766,0.0047405206221822205
2022-06-29,16593.184692382812,448065.2284088135,464658.4131011963,5,504670.04426574707,-0.07928275438413306,-0.00011297616911454256
2022-06-30,16240.067321777344,440809.3757324219,457049.4430541992,5,504670.04426574707,-0.09435987285679273,-0.01637540574421914
2022-07-01,16240.067321777344,435652.082901001,451892.1502227783,5,504670.04426574707,-0.10457901086591377,-0.011283883855010668
2022-07-04,16240.067321777344,441196.7211303711,457436.78845214844,5,504670.04426574707,-0.09359235078499475,0.01226982638808094
2022-07-05,16240.067321777344,441811.93406677246,458052.0013885498,5,504670.04426574707,-0.09237331085307954,0.0013449135529373102
2022-07-06,20920.995697021484,449072.3855895996,469993.3812866211,5,504670.04426574707,-0.06871155396111857,0.0260699218906848
2022-07-07,20920.995697021484,456878.73347473145,477799.72917175293,5,504670.04426574707,-0.05324333274642487,0.016609484720320422
2022-07-08,20920.995697021484,457021.81243896484,477942.8081359863,5,504670.04426574707,-0.05295982282571704,0.00029945384121798924
2022-07-11,46291.352016448975,440946.5495033264,487237.9015197754,8,504670.04426574707,-0.034541663298708364,0.01944812899275683
2022-07-12,5156.465297698975,479682.39112854004,484838.856426239,8,504670.04426574707,-0.03929535359753873,-0.00492376534348693
2022-07-13,5156.465297698975,482492.2482624054,487648.71356010437,8,504670.04426574707,-0.03372764224674227,0.005795445428150803
2022-07-14,5156.465297698975,487018.1625518799,492174.62784957886,8,504670.04426574707,-0.024759576198638864,0.009281095517371218
2022-07-15,8924.718898773193,489891.12326049805,498815.84215927124,7,504670.04426574707,-0.01160005863829942,0.013493613717369568
2022-07-18,16078.238887786865,483488.99214172363,499567.2310295105,7,504670.04426574707,-0.010111187089895024,0.0015063452415358114
2022-07-19,16078.238887786865,483834.5105743408,499912.7494621277,7,504670.04426574707,-0.0094265448438511,0.0006916355020027964
2022-07-20,16078.238887786865,484766.63902282715,500844.877910614,7,504670.04426574707,-0.007579539143636622,0.001864582268584325
2022-07-21,16078.238887786865,490144.7563781738,506222.9952659607,7,506222.9952659607,0.0,0.010738089960673491
2022-07-22,16078.238887786865,491220.57487487793,507298.8137626648,7,507298.8137626648,0.0,0.0021251869369127707
2022-07-25,16078.238887786865,488742.491607666,504820.7304954529,7,507298.8137626648,-0.004884859179606249,-0.004884859179606238
2022-07-26,4439.7495079040455,497229.90159606934,501669.6511039734,8,507298.8137626648,-0.01109634500609134,-0.006241977005157606
2022-07-27,4439.7495079040455,501468.2094268799,505907.95893478394,8,507298.8137626648,-0.0027416875225171693,0.00844840388786472
2022-07-28,4439.7495079040455,500567.08656311035,505006.8360710144,8,507298.8137626648,-0.004518003254631445,-0.0017811992238012664
2022-07-29,4439.7495079040455,506497.8081817627,510937.55768966675,8,510937.55768966675,0.0,0.011743844231483447
2022-08-01,13925.995189666748,504662.42350769043,518588.4186973572,8,518588.4186973572,0.0,0.014974160526162406
2022-08-02,17133.025218963623,500628.4613952637,517761.4866142273,7,518588.4186973572,-0.0015945826272153443,-0.0015945826272153463
2022-08-03,15929.655696868896,501276.87509155273,517206.53078842163,7,518588.4186973572,-0.0026647103157581356,-0.0010718368209166051
2022-08-04,20752.66997909546,496862.11181640625,517614.7817955017,6,518588.4186973572,-0.0018774752130044639,0.000789338461093525
2022-08-05,12234.946407318115,499874.63610839844,512109.58251571655,6,518588.4186973572,-0.01249321417149041,-0.010635707235192804
2022-08-08,10405.232601165779,496571.91580200195,506977.1484031677,6,518588.4186973572,-0.022390145779490826,-0.010022140353898368
2022-08-10,10405.232601165779,496912.93142700195,507318.1640281677,6,518588.4186973572,-0.021732561435712772,0.0006726449625473752
2022-08-11,10405.232601165779,495899.50521850586,506304.73781967163,6,518588.4186973572,-0.023686762825403888,-0.001997614673303616
2022-08-12,10405.232601165779,496930.06509399414,507335.2976951599,6,518588.4186973572,-0.02169952238899587,0.002035453746544569
2022-08-16,21883.257747650176,491519.4494628906,513402.7072105408,6,518588.4186973572,-0.009999666980304729,0.011959367981974278
2022-08-17,21883.257747650176,490123.88830566406,512007.1460533142,6,518588.4186973572,-0.012690743577680495,-0.002718258274891139
2022-08-18,21883.257747650176,492366.8721923828,514250.12994003296,6,518588.4186973572,-0.008365572004522528,0.004380766760792909
2022-08-19,21883.257747650176,490698.9401855469,512582.197933197,6,518588.4186973572,-0.011581864437403343,-0.0032434255428004377
2022-08-22,21883.257747650176,491315.1652832031,513198.4230308533,6,518588.4186973572,-0.010393590508717958,0.001202197618530132
2022-08-23,21883.257747650176,495683.7762451172,517567.03399276733,6,518588.4186973572,-0.001969547849054287,0.00851251828895716
2022-08-24,21883.257747650176,495755.67236328125,517638.9301109314,6,518588.4186973572,-0.0018309097391931788,0.0001389117031072029
2022-08-25,21883.257747650176,490105.1115722656,511988.3693199158,6,518588.4186973572,-0.012726950968207269,-0.010916027490058933
2022-08-26,21883.257747650176,491151.99938964844,513035.2571372986,6,518588.4186973572,-0.010708225174036062,0.0020447492172008808
