Date,Cash,Invested,Total,Positions,Peak,Drawdown,Daily_Return
2022-07-06,594.6346702575684,352350.6999206543,352945.33459091187,7,507091.29219818115,-0.30398068351571306,-0.2575581685098477
2022-07-07,594.6346702575684,489052.1082305908,489646.7429008484,7,507091.29219818115,-0.034401200662927366,0.38731609377521004
2022-07-08,23228.746242523193,284559.3501739502,307788.0964164734,6,507091.29219818115,-0.3930321795070703,-0.37140785499149265
2022-07-11,2940.8917503356934,372859.879989624,375800.7717399597,6,507091.29219818115,-0.25890904158320777,0.22097240314146904
2022-07-12,8046.307750701904,403786.36181640625,411832.66956710815,5,507091.29219818115,-0.18785300417630535,0.09588031887300419
2022-07-13,2910.5926628112793,450771.7531738281,453682.3458366394,4,507091.29219818115,-0.10532412443925085,0.10161815553273357
2022-07-14,2910.5926628112793,503982.0615234375,506892.6541862488,4,507091.29219818115,-0.00039172041600497734,0.11728538444995862
2022-07-15,2910.5926628112793,506881.21044921875,509791.80311203003,4,509791.80311203003,0.0,0.005719453422412313
2022-07-18,2910.5926628112793,512827.7150878906,515738.3077507019,4,515738.3077507019,0.0,0.01166457483696548
2022-07-19,7956.140453338623,414669.5246582031,422625.66511154175,5,515738.3077507019,-0.18054242091353245,-0.18054242091353245
2022-07-20,7956.140453338623,513138.90814208984,521095.04859542847,5,521095.04859542847,0.0,0.23299432952775856
2022-07-21,28421.315113067627,212456.9243774414,240878.23949050903,7,521095.04859542847,-0.5377460596876179,-0.5377460596876179
2022-07-22,28421.315113067627,504690.9386367798,533112.2537498474,7,533112.2537498474,0.0,1.2132022173420642
2022-07-25,28421.315113067627,503424.7061843872,531846.0212974548,7,533112.2537498474,-0.0023751704138969825,-0.0023751704138970098
2022-07-26,28421.315113067627,501307.2670135498,529728.5821266174,7,533112.2537498474,-0.006347015285110484,-0.003981301139889815
2022-07-27,28421.315113067627,508697.8532333374,537119.168346405,7,537119.168346405,0.0,0.013951647068235928
2022-07-28,34920.8302192688,457526.64978027344,492447.47999954224,6,537119.168346405,-0.08316904511970911,-0.08316904511970913
2022-07-29,34920.8302192688,509837.90966796875,544758.7398872375,6,544758.7398872375,0.0,0.1062270841303603
2022-08-01,6072.510944366455,262591.4306640625,268663.94160842896,8,544758.7398872375,-0.5068203189102738,-0.5068203189102738
2022-08-02,2481.311725616455,441401.44720458984,443882.7589302063,9,544758.7398872375,-0.1851755163724626,0.6521858358542005
2022-08-03,2481.311725616455,558436.6698608398,560917.9815864563,9,560917.9815864563,0.0,0.2636624655986064
2022-08-04,17226.942951202393,504060.54998779297,521287.49293899536,8,560917.9815864563,-0.07065291174187924,-0.07065291174187927
2022-08-05,22284.938800811768,497878.7213745117,520163.6601753235,7,560917.9815864563,-0.07265647162151317,-0.0021558790089817315
2022-08-08,22284.938800811768,538067.2639160156,560352.2027168274,7,560917.9815864563,-0.0010086659515330598,0.07726134218595382
2022-08-10,24676.259601593018,489454.9429321289,514131.2025337219,6,560917.9815864563,-0.08341108787492661,-0.08248562236216128
2022-08-11,332.6280097961426,376369.90295410156,376702.5309638977,7,560917.9815864563,-0.3284178020136529,-0.26730272524319365
2022-08-12,332.6280097961426,560020.4311523438,560353.0591621399,7,560917.9815864563,-0.0010071390878192638,0.4875213546570061
2022-08-16,332.6280097961426,577582.4955444336,577915.1235542297,7,577915.1235542297,0.0,0.03134106989323704
2022-08-17,332.6280097961426,578970.2594604492,579302.8874702454,7,579302.8874702454,0.0,0.0024013282564414595
2022-08-18,17418.571125030518,531979.8400878906,549398.4112129211,6,579302.8874702454,-0.051621486624922434,-0.051621486624922386
2022-08-19,879.7362861633301,412039.56982421875,412919.3061103821,7,579302.8874702454,-0.2872134507846885,-0.2484155438331731
2022-08-22,879.7362861633301,584905.7298583984,585785.4661445618,7,585785.4661445618,0.0,0.41864392746017276
