Date,Cash,Invested,Total,Positions,Peak,Drawdown,Daily_Return
2022-04-11,11749.102561950684,488250.8974380493,500000.0,7,500000.0,0.0,
2022-04-12,13435.547386169434,486636.59187698364,500072.1392631531,5,500072.1392631531,0.0,0.000144278526306163
2022-04-13,13435.547386169434,484994.264213562,498429.81159973145,5,500072.1392631531,-0.003284181489977766,-0.0032841814899777777
2022-04-18,13435.547386169434,488867.8768196106,502303.42420578003,5,502303.42420578003,0.0,0.007771631061986639
2022-04-19,13435.547386169434,479566.2828102112,493001.8301963806,5,502303.42420578003,-0.018517878957537835,-0.01851787895753787
2022-04-20,13435.547386169434,481372.49953842163,494808.04692459106,5,502303.42420578003,-0.014922011119156363,0.00366371201399196
2022-04-21,1275.7826614379883,507387.53967285156,508663.32233428955,4,508663.32233428955,0.0,0.028001313834352448
2022-04-22,1275.7826614379883,511596.4494628906,512872.2321243286,4,512872.2321243286,0.0,0.008274451105938052
2022-04-25,1275.7826614379883,503362.1051635742,504637.8878250122,4,512872.2321243286,-0.01605535215897644,-0.016055352158976466
2022-04-26,2244.441963195801,518160.5822753906,520405.0242385864,5,520405.0242385864,0.0,0.031244456260568487
2022-04-27,2244.441963195801,512637.0002441406,514881.4422073364,5,520405.0242385864,-0.010614005964549724,-0.010614005964549755
2022-04-28,2244.441963195801,517895.1931152344,520139.6350784302,5,520405.0242385864,-0.0005099665602662954,0.010212434242243162
2022-04-29,2244.441963195801,513293.4560546875,515537.8980178833,5,520405.0242385864,-0.00935257346491668,-0.008847118639311091
2022-05-02,2244.441963195801,509281.34521484375,511525.78717803955,5,520405.0242385864,-0.017062166287764496,-0.00778237808562543
2022-05-04,160872.8892288208,338915.1115722656,499788.0008010864,4,520405.0242385864,-0.039617264394526404,-0.02294661710352386
2022-05-05,160872.8892288208,343704.2946777344,504577.1839065552,4,520405.0242385864,-0.030414464877984673,0.009582429145542415
2022-05-06,230427.48175811768,271290.1770019531,501717.6587600708,3,520405.0242385864,-0.03590927183275648,-0.005667170925853671
2022-05-09,352295.9075393677,138262.43505859375,490558.3425979614,2,520405.0242385864,-0.057352793017888704,-0.022242223225086732
2022-05-10,483979.73444366455,0.0,483979.73444366455,0,520405.0242385864,-0.06999411631011124,-0.013410450058716883
2022-05-11,483979.73444366455,0.0,483979.73444366455,0,520405.0242385864,-0.06999411631011124,0.0
2022-05-12,483979.73444366455,0.0,483979.73444366455,0,520405.0242385864,-0.06999411631011124,0.0
2022-05-13,483979.73444366455,0.0,483979.73444366455,0,520405.0242385864,-0.06999411631011124,0.0
2022-05-16,181.10498809814453,483798.6294555664,483979.73444366455,7,520405.0242385864,-0.06999411631011124,0.0
2022-05-17,181.10498809814453,492585.8429260254,492766.94791412354,7,520405.0242385864,-0.053108780732662286,0.01815615994863906
2022-05-18,33463.343414306626,466030.6232910156,499493.96670532227,6,520405.0242385864,-0.04018227449640689,0.013651521920603926
2022-05-19,33463.343414306626,456836.76861572266,490300.1120300293,6,520405.0242385864,-0.05784900376894736,-0.018406337790095706
2022-05-20,33463.343414306626,465158.77435302734,498622.117767334,6,520405.0242385864,-0.041857602168855666,0.016973289487633325
2022-05-23,33463.343414306626,464371.9772338867,497835.32064819336,6,520405.0242385864,-0.04336949594868956,-0.0015779426766379112
2022-05-24,33463.343414306626,459382.55139160156,492845.8948059082,6,520405.0242385864,-0.052957077947124856,-0.010022241563312106
2022-05-25,33463.343414306626,451028.2592163086,484491.60263061523,6,520405.0242385864,-0.0690105205277692,-0.01695112460779047
2022-05-26,33463.343414306626,451575.32946777344,485038.6728820801,6,520405.0242385864,-0.06795928115461888,0.0011291635365699992
2022-05-27,33463.343414306626,459399.63610839844,492862.9795227051,6,520405.0242385864,-0.05292424829329538,0.016131304735214735
2022-05-30,33463.343414306626,467520.8959350586,500984.23934936523,6,520405.0242385864,-0.037318596063971664,0.01647772335127473
2022-05-31,21087.55972290039,471537.8568725586,492625.416595459,5,520405.0242385864,-0.05338074451485603,-0.016684801830816
2022-06-01,21087.55972290039,470400.0202026367,491487.5799255371,5,520405.0242385864,-0.05556718895125759,-0.0023097400815927926
2022-06-02,21087.55972290039,476540.85778808594,497628.4175109863,5,520405.0242385864,-0.043767076924218676,0.01249439016623688
2022-06-03,21087.55972290039,465447.5994873047,486535.1592102051,5,520405.0242385864,-0.06508366262976982,-0.022292252432582038
2022-06-06,21087.55972290039,470235.0947265625,491322.6544494629,5,520405.0242385864,-0.05588410648354991,0.009839977951499712
2022-06-07,21087.55972290039,471601.73974609375,492689.29946899414,5,520405.0242385864,-0.053257988448792634,0.0027815632093386444
2022-06-08,21087.55972290039,464276.9733276367,485364.5330505371,5,520405.0242385864,-0.06733311470103054,-0.014866907859276468
